"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,242,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","London Borough","London Borough",NA,NA
2,242,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","Unitary Authority","Unitary Authority",NA,NA
3,242,"GBR","United Kingdom",1,"England",3,"Bedfordshire","Administrative County","Administrative County",NA,NA
4,242,"GBR","United Kingdom",1,"England",4,"Berkshire","County","County",NA,NA
5,242,"GBR","United Kingdom",1,"England",5,"Bexley","London Borough","London Borough",NA,NA
6,242,"GBR","United Kingdom",1,"England",6,"Blackburn with Darwen","Unitary Authority","Unitary Authority",NA,"Blackburn, Blackburn and Darwen"
7,242,"GBR","United Kingdom",1,"England",7,"Bournemouth","Unitary Authority","Unitary Authority",NA,NA
8,242,"GBR","United Kingdom",1,"England",8,"Brent","London Borough","London Borough",NA,NA
9,242,"GBR","United Kingdom",1,"England",9,"Brighton and Hove","Unitary Authority","Unitary Authority",NA,NA
10,242,"GBR","United Kingdom",1,"England",10,"Bristol","Unitary Authority (city)","Unitary Authority (city)",NA,NA
11,242,"GBR","United Kingdom",1,"England",11,"Bromley","London Borough","London Borough",NA,NA
12,242,"GBR","United Kingdom",1,"England",12,"Buckinghamshire","Administrative County","Administrative County",NA,NA
13,242,"GBR","United Kingdom",1,"England",13,"Cambridgeshire","Administrative County","Administrative County",NA,NA
14,242,"GBR","United Kingdom",1,"England",14,"Camden","London Borough","London Borough",NA,NA
15,242,"GBR","United Kingdom",1,"England",15,"Cheshire","Administrative County","Administrative County",NA,NA
16,242,"GBR","United Kingdom",1,"England",16,"Cornwall","Administrative County","Administrative County",NA,"Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly"
17,242,"GBR","United Kingdom",1,"England",17,"Croydon","London Borough","London Borough",NA,NA
18,242,"GBR","United Kingdom",1,"England",18,"Cumbria","Administrative County","Administrative County",NA,NA
19,242,"GBR","United Kingdom",1,"England",19,"Darlington","Unitary Authority","Unitary Authority",NA,NA
20,242,"GBR","United Kingdom",1,"England",20,"Derbyshire","Administrative County","Administrative County",NA,NA
21,242,"GBR","United Kingdom",1,"England",21,"Derby","Unitary Authority (city)","Unitary Authority (city)",NA,NA
22,242,"GBR","United Kingdom",1,"England",22,"Devon","Administrative County","Administrative County",NA,NA
23,242,"GBR","United Kingdom",1,"England",23,"Dorset","Administrative County","Administrative County",NA,NA
24,242,"GBR","United Kingdom",1,"England",24,"Durham","Administrative County","Administrative County",NA,"County Durham"
25,242,"GBR","United Kingdom",1,"England",25,"Ealing","London Borough","London Borough",NA,NA
26,242,"GBR","United Kingdom",1,"England",26,"East Riding of Yorkshire","Unitary Authority","Unitary Authority",NA,"East Riding, East Yorkshire"
27,242,"GBR","United Kingdom",1,"England",27,"East Sussex","Administrative County","Administrative County",NA,NA
28,242,"GBR","United Kingdom",1,"England",28,"Enfield","London Borough","London Borough",NA,NA
29,242,"GBR","United Kingdom",1,"England",29,"Essex","Administrative County","Administrative County",NA,NA
30,242,"GBR","United Kingdom",1,"England",30,"Gloucestershire","Administrative County","Administrative County",NA,NA
31,242,"GBR","United Kingdom",1,"England",31,"Greenwich","London Borough","London Borough",NA,NA
32,242,"GBR","United Kingdom",1,"England",32,"Hackney","London Borough","London Borough",NA,NA
33,242,"GBR","United Kingdom",1,"England",33,"Halton","Unitary Authority","Unitary Authority",NA,NA
34,242,"GBR","United Kingdom",1,"England",34,"Hammersmith and Fulham","London Borough","London Borough",NA,NA
35,242,"GBR","United Kingdom",1,"England",35,"Hampshire","Administrative County","Administrative County",NA,"Southampton"
36,242,"GBR","United Kingdom",1,"England",36,"Haringey","London Borough","London Borough",NA,NA
37,242,"GBR","United Kingdom",1,"England",37,"Harrow","London Borough","London Borough",NA,NA
38,242,"GBR","United Kingdom",1,"England",38,"Hartlepool","Unitary Authority","Unitary Authority",NA,NA
39,242,"GBR","United Kingdom",1,"England",39,"Havering","London Borough","London Borough",NA,NA
40,242,"GBR","United Kingdom",1,"England",40,"Herefordshire","Unitary Authority (county)","Unitary Authority (county)",NA,NA
41,242,"GBR","United Kingdom",1,"England",41,"Hertfordshire","Administrative County","Administrative County",NA,NA
42,242,"GBR","United Kingdom",1,"England",42,"Hillingdon","London Borough","London Borough",NA,NA
43,242,"GBR","United Kingdom",1,"England",43,"Hounslow","London Borough","London Borough",NA,NA
44,242,"GBR","United Kingdom",1,"England",44,"Isle of Wight","Unitary Authority","Unitary Authority",NA,NA
45,242,"GBR","United Kingdom",1,"England",45,"Islington","London Borough","London Borough",NA,NA
46,242,"GBR","United Kingdom",1,"England",46,"Kensington and Chelsea","London Borough (royal)","London Borough (royal)",NA,NA
47,242,"GBR","United Kingdom",1,"England",47,"Kent","Administrative County","Administrative County",NA,NA
48,242,"GBR","United Kingdom",1,"England",48,"Kingston upon Hull","Unitary Authority (city)","Unitary Authority (city)",NA,"Hull"
49,242,"GBR","United Kingdom",1,"England",49,"Kingston upon Thames","London Borough (royal)","London Borough (royal)",NA,NA
50,242,"GBR","United Kingdom",1,"England",50,"Lambeth","London Borough","London Borough",NA,NA
51,242,"GBR","United Kingdom",1,"England",51,"Lancashire","Administrative County","Administrative County",NA,NA
52,242,"GBR","United Kingdom",1,"England",52,"Leicestershire","Administrative County","Administrative County",NA,NA
53,242,"GBR","United Kingdom",1,"England",53,"Leicester","Unitary Authority (city)","Unitary Authority (city)",NA,NA
54,242,"GBR","United Kingdom",1,"England",54,"Lewisham","London Borough","London Borough",NA,NA
55,242,"GBR","United Kingdom",1,"England",55,"Lincolnshire","Administrative County","Administrative County",NA,NA
56,242,"GBR","United Kingdom",1,"England",56,"London","London Borough (city)","London Borough (city)",NA,NA
57,242,"GBR","United Kingdom",1,"England",57,"Luton","Unitary Authority","Unitary Authority",NA,NA
58,242,"GBR","United Kingdom",1,"England",58,"Manchester","Metropolitan Borough (city)","Metropolitan Borough (city)",NA,NA
59,242,"GBR","United Kingdom",1,"England",59,"Medway","Unitary Authority","Unitary Authority",NA,"Medway Towns"
60,242,"GBR","United Kingdom",1,"England",60,"Merseyside","Metropolitan County","Metropolitan County",NA,NA
61,242,"GBR","United Kingdom",1,"England",61,"Merton","London Borough","London Borough",NA,NA
62,242,"GBR","United Kingdom",1,"England",62,"Middlesbrough","Unitary Authority","Unitary Authority",NA,NA
63,242,"GBR","United Kingdom",1,"England",63,"Milton Keynes","Unitary Authority","Unitary Authority",NA,NA
64,242,"GBR","United Kingdom",1,"England",64,"Newham","London Borough","London Borough",NA,NA
65,242,"GBR","United Kingdom",1,"England",65,"Norfolk","Administrative County","Administrative County",NA,NA
66,242,"GBR","United Kingdom",1,"England",66,"North East Lincolnshire","Unitary Authority","Unitary Authority",NA,NA
67,242,"GBR","United Kingdom",1,"England",67,"North Lincolnshire","Unitary Authority","Unitary Authority",NA,NA
68,242,"GBR","United Kingdom",1,"England",68,"North Somerset","Unitary Authority","Unitary Authority",NA,"North West Somerset"
69,242,"GBR","United Kingdom",1,"England",69,"North Yorkshire","Administrative County","Administrative County",NA,NA
70,242,"GBR","United Kingdom",1,"England",70,"Northamptonshire","Administrative County","Administrative County",NA,NA
71,242,"GBR","United Kingdom",1,"England",71,"Northumberland","Administrative County","Administrative County",NA,NA
72,242,"GBR","United Kingdom",1,"England",72,"Nottinghamshire","Administrative County","Administrative County",NA,NA
73,242,"GBR","United Kingdom",1,"England",73,"Nottingham","Unitary Authority (city)","Unitary Authority (city)",NA,NA
74,242,"GBR","United Kingdom",1,"England",74,"Oxfordshire","Administrative County","Administrative County",NA,NA
75,242,"GBR","United Kingdom",1,"England",75,"Peterborough","Unitary Authority","Unitary Authority",NA,NA
76,242,"GBR","United Kingdom",1,"England",76,"Plymouth","Unitary Authority (city)","Unitary Authority (city)",NA,NA
77,242,"GBR","United Kingdom",1,"England",77,"Poole","Unitary Authority","Unitary Authority",NA,NA
78,242,"GBR","United Kingdom",1,"England",78,"Portsmouth","Unitary Authority (city)","Unitary Authority (city)",NA,NA
79,242,"GBR","United Kingdom",1,"England",79,"Redbridge","London Borough","London Borough",NA,NA
80,242,"GBR","United Kingdom",1,"England",80,"Redcar and Cleveland","Unitary Authority","Unitary Authority",NA,NA
81,242,"GBR","United Kingdom",1,"England",81,"Richmond upon Thames","London Borough","London Borough",NA,NA
82,242,"GBR","United Kingdom",1,"England",82,"Rutland","Unitary Authority","Unitary Authority",NA,NA
83,242,"GBR","United Kingdom",1,"England",83,"Shropshire","Administrative County","Administrative County",NA,"Salop"
84,242,"GBR","United Kingdom",1,"England",84,"Somerset","Administrative County","Administrative County",NA,NA
85,242,"GBR","United Kingdom",1,"England",85,"South Gloucestershire","Unitary Authority","Unitary Authority",NA,NA
86,242,"GBR","United Kingdom",1,"England",86,"South Yorkshire","Metropolitan County","Metropolitan County",NA,NA
87,242,"GBR","United Kingdom",1,"England",87,"Southampton","Unitary Authority (city)","Unitary Authority (city)",NA,NA
88,242,"GBR","United Kingdom",1,"England",88,"Southend-on-Sea","Unitary Authority","Unitary Authority",NA,"Southend"
89,242,"GBR","United Kingdom",1,"England",89,"Southwark","London Borough","London Borough",NA,NA
90,242,"GBR","United Kingdom",1,"England",90,"Staffordshire","Administrative County","Administrative County",NA,NA
91,242,"GBR","United Kingdom",1,"England",91,"Stockton-on-Tees","Unitary Authority","Unitary Authority",NA,"Stockton"
92,242,"GBR","United Kingdom",1,"England",92,"Stoke-on-Trent","Unitary Authority (city)","Unitary Authority (city)",NA,NA
93,242,"GBR","United Kingdom",1,"England",93,"Suffolk","Administrative County","Administrative County",NA,NA
94,242,"GBR","United Kingdom",1,"England",94,"Surrey","Administrative County","Administrative County",NA,NA
95,242,"GBR","United Kingdom",1,"England",95,"Sutton","London Borough","London Borough",NA,NA
96,242,"GBR","United Kingdom",1,"England",96,"Swindon","Unitary Authority","Unitary Authority",NA,"Thamesdown"
97,242,"GBR","United Kingdom",1,"England",97,"Telford and Wrekin","Unitary Authority","Unitary Authority",NA,"The Wrekin, Wrekin"
98,242,"GBR","United Kingdom",1,"England",98,"Thurrock","Unitary Authority","Unitary Authority",NA,NA
99,242,"GBR","United Kingdom",1,"England",99,"Torbay","Unitary Authority","Unitary Authority",NA,NA
100,242,"GBR","United Kingdom",1,"England",100,"Tower Hamlets","London Borough","London Borough",NA,NA
101,242,"GBR","United Kingdom",1,"England",101,"Tyne and Wear","Metropolitan County","Metropolitan County",NA,NA
102,242,"GBR","United Kingdom",1,"England",102,"Waltham Forest","London Borough","London Borough",NA,NA
103,242,"GBR","United Kingdom",1,"England",103,"Wandsworth","London Borough","London Borough",NA,NA
104,242,"GBR","United Kingdom",1,"England",104,"Warrington","Unitary Authority","Unitary Authority",NA,NA
105,242,"GBR","United Kingdom",1,"England",105,"Warwickshire","Administrative County","Administrative County",NA,NA
106,242,"GBR","United Kingdom",1,"England",106,"West Midlands","Metropolitan County","Metropolitan County",NA,NA
107,242,"GBR","United Kingdom",1,"England",107,"West Sussex","Administrative County","Administrative County",NA,NA
108,242,"GBR","United Kingdom",1,"England",108,"West Yorkshire","Metropolitan County","Metropolitan County",NA,NA
109,242,"GBR","United Kingdom",1,"England",109,"Westminster","London Borough (city)","London Borough (city)",NA,NA
110,242,"GBR","United Kingdom",1,"England",110,"Wiltshire","Administrative County","Administrative County",NA,NA
111,242,"GBR","United Kingdom",1,"England",111,"Worcestershire","Administrative County","Administrative County",NA,NA
112,242,"GBR","United Kingdom",1,"England",112,"York","Unitary Authority (city)","Unitary Authority (city)",NA,NA
113,242,"GBR","United Kingdom",2,"Northern Ireland",113,"Antrim","District","District",NA,NA
114,242,"GBR","United Kingdom",2,"Northern Ireland",114,"Ards","District","District",NA,NA
115,242,"GBR","United Kingdom",2,"Northern Ireland",115,"Armagh","District","District",NA,NA
116,242,"GBR","United Kingdom",2,"Northern Ireland",116,"Ballymena","District","District",NA,NA
117,242,"GBR","United Kingdom",2,"Northern Ireland",117,"Ballymoney","District","District",NA,NA
118,242,"GBR","United Kingdom",2,"Northern Ireland",118,"Banbridge","District","District",NA,NA
119,242,"GBR","United Kingdom",2,"Northern Ireland",119,"Belfast","District","District",NA,NA
120,242,"GBR","United Kingdom",2,"Northern Ireland",120,"Carrickfergus","District","District",NA,NA
121,242,"GBR","United Kingdom",2,"Northern Ireland",121,"Castlereagh","District","District",NA,NA
122,242,"GBR","United Kingdom",2,"Northern Ireland",122,"Coleraine","District","District",NA,NA
123,242,"GBR","United Kingdom",2,"Northern Ireland",123,"Cookstown","District","District",NA,NA
124,242,"GBR","United Kingdom",2,"Northern Ireland",124,"Craigavon","District","District",NA,NA
125,242,"GBR","United Kingdom",2,"Northern Ireland",125,"Derry","District","London Borough (city)",NA,"Londonderry"
126,242,"GBR","United Kingdom",2,"Northern Ireland",126,"Down","District","District",NA,NA
127,242,"GBR","United Kingdom",2,"Northern Ireland",127,"Dungannon","District","District",NA,NA
128,242,"GBR","United Kingdom",2,"Northern Ireland",128,"Fermanagh","District","District",NA,NA
129,242,"GBR","United Kingdom",2,"Northern Ireland",129,"Larne","District","District",NA,NA
130,242,"GBR","United Kingdom",2,"Northern Ireland",130,"Limavady","District","District",NA,NA
131,242,"GBR","United Kingdom",2,"Northern Ireland",131,"Lisburn","District","District",NA,NA
132,242,"GBR","United Kingdom",2,"Northern Ireland",132,"Magherafelt","District","District",NA,NA
133,242,"GBR","United Kingdom",2,"Northern Ireland",133,"Moyle","District","District",NA,NA
134,242,"GBR","United Kingdom",2,"Northern Ireland",134,"Newry and Mourne","District","District",NA,"Mourne"
135,242,"GBR","United Kingdom",2,"Northern Ireland",135,"Newtownabbey","District","District",NA,NA
136,242,"GBR","United Kingdom",2,"Northern Ireland",136,"North Down","District","District",NA,NA
137,242,"GBR","United Kingdom",2,"Northern Ireland",137,"Omagh","District","District",NA,NA
138,242,"GBR","United Kingdom",2,"Northern Ireland",138,"Strabane","District","District",NA,NA
139,242,"GBR","United Kingdom",3,"Scotland",139,"Aberdeenshire","Unitary District","Unitary District",NA,NA
140,242,"GBR","United Kingdom",3,"Scotland",140,"Aberdeen","Unitary District (city)","Unitary District (city)",NA,"Aberdeen City"
141,242,"GBR","United Kingdom",3,"Scotland",141,"Angus","Unitary District","Unitary District",NA,"Forfar"
142,242,"GBR","United Kingdom",3,"Scotland",142,"Argyll and Bute","Unitary District","Unitary District",NA,"Earra-Ghaidheal agus Bòd"
143,242,"GBR","United Kingdom",3,"Scotland",143,"Clackmannanshire","Unitary District","Unitary District",NA,NA
144,242,"GBR","United Kingdom",3,"Scotland",144,"Dumfries and Galloway","Unitary District","Unitary District",NA,NA
145,242,"GBR","United Kingdom",3,"Scotland",145,"Dundee","Unitary District (city)","Unitary District (city)",NA,"Dundee City"
146,242,"GBR","United Kingdom",3,"Scotland",146,"East Ayrshire","Unitary District","Unitary District",NA,NA
147,242,"GBR","United Kingdom",3,"Scotland",147,"East Dunbartonshire","Unitary District","Unitary District",NA,NA
148,242,"GBR","United Kingdom",3,"Scotland",148,"East Lothian","Unitary District","Unitary District",NA,"Haddington"
149,242,"GBR","United Kingdom",3,"Scotland",149,"East Renfrewshire","Unitary District","Unitary District",NA,NA
150,242,"GBR","United Kingdom",3,"Scotland",150,"Edinburgh","Unitary District (city)","Unitary District (city)",NA,"Édimbourg|Edimburgo"
151,242,"GBR","United Kingdom",3,"Scotland",151,"Eilean Siar","Island Area","Island Area",NA,"Western Isles"
152,242,"GBR","United Kingdom",3,"Scotland",152,"Falkirk","Unitary District","Unitary District",NA,NA
153,242,"GBR","United Kingdom",3,"Scotland",153,"Fife","Unitary District","Unitary District",NA,NA
154,242,"GBR","United Kingdom",3,"Scotland",154,"Glasgow","Unitary District (city)","Unitary District (city)",NA,"Glasgow City"
155,242,"GBR","United Kingdom",3,"Scotland",155,"Highland","Unitary District","Unitary District",NA,NA
156,242,"GBR","United Kingdom",3,"Scotland",156,"Inverclyde","Unitary District","Unitary District",NA,NA
157,242,"GBR","United Kingdom",3,"Scotland",157,"Midlothian","Unitary District","Unitary District",NA,"Edinburgh"
158,242,"GBR","United Kingdom",3,"Scotland",158,"Moray","Unitary District","Unitary District",NA,"Elgin"
159,242,"GBR","United Kingdom",3,"Scotland",159,"North Ayshire","Unitary District","Unitary District",NA,NA
160,242,"GBR","United Kingdom",3,"Scotland",160,"North Lanarkshire","Unitary District","Unitary District",NA,NA
161,242,"GBR","United Kingdom",3,"Scotland",161,"Orkney Islands","Island Area","Island Area",NA,"Orcadas|Orcades|Orcadi|Orkneyöarna|Orknøyene"
162,242,"GBR","United Kingdom",3,"Scotland",162,"Perthshire and Kinross","Unitary District","Unitary District",NA,"Perth and Kinross"
163,242,"GBR","United Kingdom",3,"Scotland",163,"Renfrewshire","Unitary District","Unitary District",NA,NA
164,242,"GBR","United Kingdom",3,"Scotland",164,"Scottish Borders","Unitary District","Unitary District",NA,"The Borders"
165,242,"GBR","United Kingdom",3,"Scotland",165,"Shetland Islands","Island Area","Island Area",NA,"Zetland"
166,242,"GBR","United Kingdom",3,"Scotland",166,"South Ayrshire","Unitary District","Unitary District",NA,NA
167,242,"GBR","United Kingdom",3,"Scotland",167,"South Lanarkshire","Unitary District","Unitary District",NA,NA
168,242,"GBR","United Kingdom",3,"Scotland",168,"Stirling","Unitary District","Unitary District",NA,NA
169,242,"GBR","United Kingdom",3,"Scotland",169,"West Dunbartonshire","Unitary District","Unitary District",NA,"Dumbarton and Clydebank"
170,242,"GBR","United Kingdom",3,"Scotland",170,"West Lothian","Unitary District","Unitary District",NA,"Linlithgow"
171,242,"GBR","United Kingdom",4,"Wales",171,"Anglesey","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
172,242,"GBR","United Kingdom",4,"Wales",172,"Blaenau Gwent","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
173,242,"GBR","United Kingdom",4,"Wales",173,"Bridgend","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
174,242,"GBR","United Kingdom",4,"Wales",174,"Caerphilly","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
175,242,"GBR","United Kingdom",4,"Wales",175,"Cardiff","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
176,242,"GBR","United Kingdom",4,"Wales",176,"Carmarthenshire","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
177,242,"GBR","United Kingdom",4,"Wales",177,"Ceredigion","Unitary Authority (wales)","Unitary Authority (wales",NA,"Cardiganshire"
178,242,"GBR","United Kingdom",4,"Wales",178,"Conwy","Unitary Authority (wales)","Unitary Authority (wales",NA,"Aberconwy and Colwyn"
179,242,"GBR","United Kingdom",4,"Wales",179,"Denbighshire","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
180,242,"GBR","United Kingdom",4,"Wales",180,"Flintshire","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
181,242,"GBR","United Kingdom",4,"Wales",181,"Gwynedd","Unitary Authority (wales)","Unitary Authority (wales",NA,"Caernarfonshire and Merionethshire"
182,242,"GBR","United Kingdom",4,"Wales",182,"Merthyr Tydfil","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
183,242,"GBR","United Kingdom",4,"Wales",183,"Monmouthshire","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
184,242,"GBR","United Kingdom",4,"Wales",184,"Neath Port Talbot","Unitary Authority (wales)","Unitary Authority (wales",NA,"Neath and Port Talbot"
185,242,"GBR","United Kingdom",4,"Wales",185,"Newport","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
186,242,"GBR","United Kingdom",4,"Wales",186,"Pembrokeshire","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
187,242,"GBR","United Kingdom",4,"Wales",187,"Powys","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
188,242,"GBR","United Kingdom",4,"Wales",188,"Rhondda, Cynon, Taff","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
189,242,"GBR","United Kingdom",4,"Wales",189,"Swansea","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
190,242,"GBR","United Kingdom",4,"Wales",190,"Torfaen","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
191,242,"GBR","United Kingdom",4,"Wales",191,"Vale of Glamorgan","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
192,242,"GBR","United Kingdom",4,"Wales",192,"Wrexham","Unitary Authority (wales)","Unitary Authority (wales",NA,NA
